Date,Hour,ClientKey,CardKey,MCC,ChannelKey,OutcomeKey,GeoKey,FraudKey,Amount
2013-01-01,1,1695,114,5310,1,0,13,0,12.38
2013-01-01,1,1807,165,5499,1,0,59,1,3.77
2013-01-01,1,652,2502,5813,1,0,15,0,23.5
2013-01-01,1,727,2665,7538,1,0,64,1,47.4
2013-01-01,1,652,4293,5813,1,0,15,0,18.79
2013-01-01,2,727,4698,5812,1,0,64,1,4.24
2013-01-01,2,1411,5761,5814,1,0,43,0,3.32
2013-01-01,2,1425,5929,4784,3,0,88,0,13.96
2013-01-01,3,895,217,5300,1,0,13,0,45.78
2013-01-01,3,217,1266,5912,1,0,43,1,97.36
2013-01-01,3,1130,2446,5912,1,0,87,1,1.28
2013-01-01,3,1030,3828,5411,1,0,122,1,4.82
2013-01-01,3,488,5413,4814,3,0,88,0,115.37
2013-01-01,4,1604,2188,5812,1,0,65,1,4.34
2013-01-01,4,921,3537,5813,1,0,80,0,30.57
2013-01-01,4,604,4369,4121,3,0,88,1,33.73
2013-01-01,4,20,5011,5411,1,0,109,0,2.46
2013-01-01,5,994,3243,5541,1,0,77,1,7.24
2013-01-01,5,816,5066,5921,1,0,108,0,7.75
2013-01-01,5,1487,5978,5812,1,0,89,1,70.66
2013-01-01,6,1091,191,5411,1,0,60,0,7.42
2013-01-01,6,1730,277,5499,1,0,77,1,2.71
2013-01-01,6,1652,2688,4900,1,0,64,0,29.92
2013-01-01,6,81,2962,5942,1,0,109,1,2.58
2013-01-01,6,996,3208,5814,1,0,29,0,2.06
2013-01-01,6,515,3235,5812,1,0,109,1,4.87
2013-01-01,6,1259,3289,4829,1,0,77,1,220.0
2013-01-01,6,1219,3466,7538,1,0,60,0,87.08
2013-01-01,6,1918,3898,5411,1,0,2,0,1.67
2013-01-01,6,668,4318,7538,1,0,2,1,34.9
2013-01-01,6,1543,4687,5814,1,0,13,1,2.41
2013-01-01,6,1719,4942,5411,1,0,29,0,2.28
2013-01-01,6,1997,5457,5411,1,0,63,1,24.6
2013-01-01,6,1799,5909,5814,1,0,79,0,4.45
2013-01-01,6,1799,5909,5499,1,0,79,1,1.77
2013-01-01,6,1774,5939,5499,1,0,63,1,1.57
2013-01-01,7,1296,67,4784,3,0,88,1,32.43
2013-01-01,7,746,958,5300,1,0,80,1,37.64
2013-01-01,7,1166,1222,5541,1,0,85,0,19.77
2013-01-01,7,1166,1222,5541,1,0,85,1,59.0
2013-01-01,7,1166,1222,5541,1,0,85,1,-59.0
2013-01-01,7,1166,1222,5541,1,0,85,1,-81.0
2013-01-01,7,1166,1222,5541,1,0,85,0,81.0
2013-01-01,7,1166,1222,5541,1,0,85,0,24.18
2013-01-01,7,1595,2472,5942,1,0,80,0,5.95
2013-01-01,7,1073,2547,5814,1,0,44,1,5.71
2013-01-01,7,1262,3324,5300,1,0,13,0,22.39
2013-01-01,7,895,3483,5812,1,0,13,0,8.63
2013-01-01,7,921,3537,5812,1,0,80,1,12.1
2013-01-01,7,209,4676,5499,1,2,109,1,1.01
2013-01-01,7,1543,4687,5541,1,0,13,1,57.0
2013-01-01,7,1543,4687,5541,1,0,13,1,-57.0
2013-01-01,7,1543,4687,5541,1,0,13,1,88.7
2013-01-01,7,1969,4934,5499,1,0,29,0,2.19
2013-01-01,7,1969,4934,4829,1,0,29,0,120.0
2013-01-01,7,849,5121,5411,1,0,89,1,3.04
2013-01-01,7,1969,5549,4784,3,0,88,0,23.77
2013-01-01,7,209,5575,5499,1,0,109,0,0.79
2013-01-01,7,1369,5792,5411,1,0,44,1,1.54
2013-01-01,7,1809,5830,5812,1,0,118,0,5.94
2013-01-01,8,1807,165,4784,3,0,88,0,24.47
2013-01-01,8,1666,178,5947,1,0,32,0,6.35
2013-01-01,8,746,958,5812,1,0,80,1,6.06
2013-01-01,8,1026,983,5812,1,0,13,1,4.33
2013-01-01,8,895,1116,5541,1,0,13,1,-65.0
2013-01-01,8,895,1116,5541,1,0,13,0,65.0
2013-01-01,8,895,1116,5541,1,0,13,0,12.74
2013-01-01,8,1586,1122,5814,1,0,80,1,8.78
2013-01-01,8,1742,1155,5411,1,0,44,0,7.49
2013-01-01,8,37,1183,5499,1,0,80,0,30.2
2013-01-01,8,37,1183,5499,1,0,80,1,68.0
2013-01-01,8,37,1183,5499,1,0,80,1,-68.0
2013-01-01,8,996,1279,5921,1,0,29,1,4.4
2013-01-01,8,1330,2189,4784,3,0,88,1,37.63
2013-01-01,8,1253,2561,5912,1,0,15,1,108.83
2013-01-01,8,81,2962,4900,3,0,88,0,54.46
2013-01-01,8,801,3261,5942,1,0,109,1,1.96
2013-01-01,8,1296,3665,5411,1,0,29,1,5.02
2013-01-01,8,1253,3841,5541,1,0,15,1,-65.0
2013-01-01,8,1253,3841,5541,1,0,15,1,65.0
2013-01-01,8,1253,3841,5541,1,0,15,0,66.17
2013-01-01,8,1830,4083,5541,1,0,73,1,4.82
2013-01-01,8,1995,4180,5411,1,0,89,0,17.03
2013-01-01,8,303,4783,5300,1,0,14,1,131.55
2013-01-01,8,1648,5388,7538,1,0,77,1,66.94
2013-01-01,8,437,5454,5541,1,0,60,1,9.43
2013-01-01,8,57,6006,5812,1,0,4,0,6.67
2013-01-01,8,1330,6045,4784,3,0,88,1,30.19
2013-01-01,9,1133,195,5942,1,0,80,1,5.86
2013-01-01,9,1026,983,5411,1,0,13,0,29.55
2013-01-01,9,1666,993,4784,3,0,88,1,22.55
2013-01-01,9,1586,1122,5812,1,0,80,0,9.0
2013-01-01,9,1166,1222,5977,1,0,13,1,11.65
2013-01-01,9,1259,2045,5499,1,0,15,1,102.4
2013-01-01,9,1259,2045,5499,1,0,15,1,-95.0
2013-01-01,9,1259,2045,5499,1,0,15,1,95.0
2013-01-01,9,1247,2065,5499,1,0,13,1,50.0
2013-01-01,9,1247,2065,5499,1,0,13,0,-50.0
2013-01-01,9,1247,2065,5499,1,0,13,1,32.33
2013-01-01,9,1725,2238,5411,1,0,118,1,0.8
2013-01-01,9,1130,2446,5942,1,0,87,0,1.76
2013-01-01,9,1983,2653,4829,1,0,13,0,60.0
2013-01-01,9,81,2962,4900,1,0,109,0,45.35
2013-01-01,9,434,3463,5812,1,0,41,1,4.88
2013-01-01,9,1219,3466,5411,1,0,60,1,3.24
2013-01-01,9,1219,3466,5411,1,0,60,1,2.02
2013-01-01,9,746,3492,3730,1,0,37,1,79.66
2013-01-01,9,1253,3841,7538,1,0,15,1,58.74
2013-01-01,9,699,3875,5411,1,0,41,1,3.52
2013-01-01,9,1493,4003,5541,1,0,13,1,98.0
2013-01-01,9,1493,4003,5541,1,0,13,1,34.33
2013-01-01,9,1493,4003,5541,1,0,13,1,-98.0
2013-01-01,9,727,4295,5411,1,0,64,1,5.44
2013-01-01,9,716,4715,5411,1,0,13,1,3.31
2013-01-01,9,1487,4946,5499,1,0,89,1,5.32
2013-01-01,9,1733,5013,5411,1,0,54,0,3.26
2013-01-01,9,1777,5014,5411,1,0,118,1,4.23
2013-01-01,9,47,5080,5942,1,0,80,1,2.46
2013-01-01,9,849,5121,5812,1,0,89,1,11.03
2013-01-01,9,142,5140,5310,1,0,15,0,95.69
2013-01-01,9,142,5140,5411,1,0,15,1,7.23
2013-01-01,9,1648,5388,7538,1,0,77,1,60.72
2013-01-01,10,1937,3,5300,1,0,64,1,87.94
2013-01-01,10,658,199,4784,3,0,88,1,26.12
2013-01-01,10,729,226,5411,1,0,85,1,1.08
2013-01-01,10,1353,966,4814,3,0,88,1,55.88
2013-01-01,10,1742,1155,5411,1,0,44,1,1.19
2013-01-01,10,1648,1187,5499,1,3,77,1,3.9
